"filename", "language", "TypeScript", "HTML", "SCSS", "vue", "PostCSS", "XML", "comment", "blank", "total"
"d:\HTML\vue3\vue-useProject\src\App.vue", "vue", 0, 0, 0, 21, 0, 0, 0, 3, 24
"d:\HTML\vue3\vue-useProject\src\ai\api.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 18, 22, 140
"d:\HTML\vue3\vue-useProject\src\ai\components\AiChatPanel.vue", "vue", 0, 0, 0, 204, 0, 0, 0, 23, 227
"d:\HTML\vue3\vue-useProject\src\ai\core\agent.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 25, 22, 123
"d:\HTML\vue3\vue-useProject\src\ai\core\llm.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 22, 8, 70
"d:\HTML\vue3\vue-useProject\src\ai\core\useAiAssistant.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 24, 22, 118
"d:\HTML\vue3\vue-useProject\src\ai\core\useAiContext.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 15, 10, 80
"d:\HTML\vue3\vue-useProject\src\ai\index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 6, 6, 21
"d:\HTML\vue3\vue-useProject\src\ai\legacy\useDeepseek.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 9, 8, 54
"d:\HTML\vue3\vue-useProject\src\ai\strategies\useDeviceAi.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 19, 10, 79
"d:\HTML\vue3\vue-useProject\src\ai\strategies\useI18nAi.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 8, 10, 169
"d:\HTML\vue3\vue-useProject\src\ai\tools\index.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 22, 15, 147
"d:\HTML\vue3\vue-useProject\src\ai\types.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 12, 3, 31
"d:\HTML\vue3\vue-useProject\src\ai\utils\aiTools.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 14, 6, 62
"d:\HTML\vue3\vue-useProject\src\ai\utils\promptUtils.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 12, 7, 51
"d:\HTML\vue3\vue-useProject\src\api\business\device.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 7, 10, 79
"d:\HTML\vue3\vue-useProject\src\api\core\instance.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 8, 7, 70
"d:\HTML\vue3\vue-useProject\src\api\core\request.ts", "TypeScript", 130, 0, 0, 0, 0, 0, 26, 25, 181
"d:\HTML\vue3\vue-useProject\src\api\generated\business.ts", "TypeScript", 892, 0, 0, 0, 0, 0, 429, 89, 1410
"d:\HTML\vue3\vue-useProject\src\api\index.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 4, 3, 26
"d:\HTML\vue3\vue-useProject\src\api\modules\auth.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 11, 7, 53
"d:\HTML\vue3\vue-useProject\src\api\modules\campaign.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 3, 4, 31
"d:\HTML\vue3\vue-useProject\src\api\modules\dashboard.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 3, 2, 13
"d:\HTML\vue3\vue-useProject\src\api\modules\device.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 57, 27, 199
"d:\HTML\vue3\vue-useProject\src\api\modules\firmware.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 7, 6, 37
"d:\HTML\vue3\vue-useProject\src\api\modules\product.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 6, 4, 36
"d:\HTML\vue3\vue-useProject\src\api\modules\scene.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 1, 7, 35
"d:\HTML\vue3\vue-useProject\src\api\services\deviceService.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 15, 3, 32
"d:\HTML\vue3\vue-useProject\src\api\types\auth.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 12, 10, 54
"d:\HTML\vue3\vue-useProject\src\api\types\common.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\HTML\vue3\vue-useProject\src\api\types\device.d.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 5, 5, 31
"d:\HTML\vue3\vue-useProject\src\assets\ai-theme.css", "PostCSS", 0, 0, 0, 0, 71, 0, 33, 20, 124
"d:\HTML\vue3\vue-useProject\src\assets\base.css", "PostCSS", 0, 0, 0, 0, 91, 0, 40, 21, 152
"d:\HTML\vue3\vue-useProject\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\HTML\vue3\vue-useProject\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 167, 0, 50, 37, 254
"d:\HTML\vue3\vue-useProject\src\assets\page-layouts.css", "PostCSS", 0, 0, 0, 0, 139, 0, 30, 22, 191
"d:\HTML\vue3\vue-useProject\src\assets\utilities.css", "PostCSS", 0, 0, 0, 0, 108, 0, 12, 20, 140
"d:\HTML\vue3\vue-useProject\src\components\AiChatPanel.vue", "vue", 0, 0, 0, 170, 0, 0, 0, 28, 198
"d:\HTML\vue3\vue-useProject\src\components\AiFloatingButton.vue", "vue", 0, 0, 0, 139, 0, 0, 0, 19, 158
"d:\HTML\vue3\vue-useProject\src\components\AppHeader.vue", "vue", 0, 0, 0, 188, 0, 0, 0, 29, 217
"d:\HTML\vue3\vue-useProject\src\components\AppPagination.vue", "vue", 0, 0, 0, 47, 0, 0, 0, 6, 53
"d:\HTML\vue3\vue-useProject\src\components\AppSidebar.vue", "vue", 0, 0, 0, 243, 0, 0, 0, 34, 277
"d:\HTML\vue3\vue-useProject\src\components\DangerConfirmModal.vue", "vue", 0, 0, 0, 211, 0, 0, 0, 30, 241
"d:\HTML\vue3\vue-useProject\src\components\DebugMockSwitch.vue", "vue", 0, 0, 0, 201, 0, 0, 0, 33, 234
"d:\HTML\vue3\vue-useProject\src\components\DeviceDetailDrawer.vue", "vue", 0, 0, 0, 301, 0, 0, 0, 42, 343
"d:\HTML\vue3\vue-useProject\src\components\DeviceFilterBar.vue", "vue", 0, 0, 0, 127, 0, 0, 0, 22, 149
"d:\HTML\vue3\vue-useProject\src\components\DeviceUnbindDialog.vue", "vue", 0, 0, 0, 132, 0, 0, 0, 20, 152
"d:\HTML\vue3\vue-useProject\src\components\ExpCard.vue", "vue", 0, 0, 0, 114, 0, 0, 0, 14, 128
"d:\HTML\vue3\vue-useProject\src\components\FirmwareList.vue", "vue", 0, 0, 0, 62, 0, 0, 0, 8, 70
"d:\HTML\vue3\vue-useProject\src\components\FirmwareUpgradeModal.vue", "vue", 0, 0, 0, 188, 0, 0, 0, 25, 213
"d:\HTML\vue3\vue-useProject\src\components\FirmwareUploadModal.vue", "vue", 0, 0, 0, 91, 0, 0, 0, 12, 103
"d:\HTML\vue3\vue-useProject\src\components\PageMainHeader.vue", "vue", 0, 0, 0, 79, 0, 0, 0, 10, 89
"d:\HTML\vue3\vue-useProject\src\components\ResizableLayout.vue", "vue", 0, 0, 0, 99, 0, 0, 0, 18, 117
"d:\HTML\vue3\vue-useProject\src\components\SerialConnectionPanel.vue", "vue", 0, 0, 0, 393, 0, 0, 0, 56, 449
"d:\HTML\vue3\vue-useProject\src\components\StatCard.vue", "vue", 0, 0, 0, 139, 0, 0, 0, 23, 162
"d:\HTML\vue3\vue-useProject\src\components\StatusBadge.vue", "vue", 0, 0, 0, 87, 0, 0, 0, 16, 103
